Information,,NIF,Icon,Figleaf,,Anim,Weapon,Skeleton,Item Node,Skeleton,Item Node,Sound,Sound Material,Animated,Death,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Glow,Interact,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon,Figpart/Nif_ColumnA,UI Icon
2896,CW_Armor_MR_04_Pants,,1501,CW_Armor_MR_04_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2897,CW_Armor_MR_05_Pants,,1501,CW_Armor_MR_05_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2898,CW_Hand_MU_01,,3502,CW_Hand_MU_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,CW_Hand_MU_02,,3502,CW_Hand_MU_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,CW_Hand_MU_03,,3502,CW_Hand_MU_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,CW_Hand_MU_04,,3502,CW_Hand_MU_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2902,WORLD OBJ qi_he_roadside_brazier01,1485,,,,,,,,,,,,1,,2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,WORLD OBJ qi_he_roadside_brazier02,1486,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,WORLD OBJ qi_he_fountainwind_pylon01,1487,,,,,,,,,,,,,,3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2905,WORLD OBJ qi_he_fountainwind_pylon02,1488,,,,,,,,,,,,,,3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,WORLD OBJ qi_he_fountainwind_pylon03,1489,,,,,,,,,,,,,,3376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,WORLD OBJ qi_he_fountainwind_pylon04,1490,,,,,,,,,,,,,,3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2908,WORLD OBJ qi_he_fountainwind_pylon05,1491,,,,,,,,,,,,,,3378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2909,WORLD OBJ qi_he_fountainwind_pylon06,1492,,,,,,,,,,,,,,3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,WORLD OBJ qi_he_fountainwind_pylon07,1493,,,,,,,,,,,,,,3380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,WORLD OBJ qi_he_fountainwind_pylon08,1494,,,,,,,,,,,,,,3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2912,WORLD OBJ qi_ge_eagle_egg01,1659,,,,,,,,,,,,,,2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,WORLD OBJ qi_ge_eagle_egg02,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2914,WORLD OBJ ge_scenario_ch_banner01,1726,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,WORLD OBJ ge_scenario_de_banner01,1727,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,WORLD OBJ ge_scenario_dw_banner01,1728,,,,,,,,,,,,1,,2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2917,WORLD OBJ ge_scenario_em_banner01,1729,,,,,,,,,,,,1,,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2918,WORLD OBJ ge_scenario_he_banner01,1730,,,,,,,,,,,,1,,2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2919,WORLD OBJ ge_scenario_or_banner01,1731,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920,WORLD OBJ em_palacewindow_breaking,1732,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921,DW_Armor_IB_02_B_shoulder,,3569,DW_Armor_IB_02_B_shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922,DW_Armor_Med_C_01_Shoulder,,3502,DW_Armor_Med_C_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2923,DW_Helm_Hvy_D_01,,3501,DW_Helm_Hvy_D_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,DW_helm_IB_04_B,,3682,DW_helm_IB_04_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,DW_Armor_Hvy_C_01_Shoulder,,3502,DW_Armor_Hvy_C_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2926,DW_Armor_Hvy_C_02_Shoulder,,3502,DW_Armor_Hvy_C_02_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2927,DW_Helm_Hvy_B_01,,3501,DW_Helm_Hvy_B_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,DW_Helm_Hvy_B_02,,3501,DW_Helm_Hvy_B_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,DW_helm_IB_04_A,,3501,DW_helm_IB_04_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930,DW_Helm_Hvy_C_02,,3501,DW_Helm_Hvy_C_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2931,DW_TrophyTest_IB_06_Shoulder_01,,3502,DW_TrophyTest_IB_06_Shoulder_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,DW_TrophyTest_IB_06_Shoulder_02,,3502,DW_TrophyTest_IB_06_Shoulder_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,DW_TrophyTest_IB_06_Belt_01,,3510,DW_TrophyTest_IB_06_Belt_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,DW_TrophyTest_IB_06_Belt_02,,3510,DW_TrophyTest_IB_06_Belt_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2935,OR_Armor_BZ_06_Pants,,1501,OR_Armor_BZ_06_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936,OR_Helm_BZ_05_D,,1556,OR_Helm_BZ_05_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2937,OR_Helm_BZ_04_A,,1602,OR_Helm_BZ_04_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2938,OR_Helm_BZ_03_C,,1542,OR_Helm_BZ_03_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2939,OR_Armor_BZ_03_A_Shoulder,,1543,OR_Armor_BZ_03_A_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,OR_Armor_BZ_03_B_Shoulder,,1543,OR_Armor_BZ_03_B_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,OR_Armor_BO_05_B_shoulder,,1525,OR_Armor_BO_05_B_shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,OR_Armor_SQ_06_A_Shoulder,,1671,OR_Armor_SQ_06_A_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2943,GO_Helm_SQ_06_A,,1670,GO_Helm_SQ_06_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,DW_Back_EN_05_A,,3673,DW_Back_EN_05_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2945,DW_Back_EN_05_B,,3673,DW_Back_EN_05_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946,GO_Armor_SQ_05_C_Shoulder,,1632,GO_Armor_SQ_05_C_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2947,DW_helm_IB_06_A,,3671,DW_helm_IB_06_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948,DW_Armor_IB_05_D_shoulder,,3660,DW_Armor_IB_05_D_shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,DW_Armor_Hvy_D_02_Shoulder,,3502,DW_Armor_Hvy_D_02_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,DW_Helm_HA_06_B,,3665,DW_Helm_HA_06_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,DW_Armor_EN_02_B_Shoulder,,3522,DW_Armor_EN_02_B_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,DW_Helm_EN_06_A,,3647,DW_Helm_EN_06_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2953,DW_Helm_EN_05_A,,3640,DW_Helm_EN_05_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2954,DW_Helm_EN_05_D,,3533,DW_Helm_EN_05_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2955,DW_Helm_EN_04_A,,3688,DW_Helm_EN_04_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,DW_Helm_EN_03_A,,3527,DW_Helm_EN_03_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2957,DW_Helm_EN_03_B,,3527,DW_Helm_EN_03_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,DW_Helm_EN_02_A,,3521,DW_Helm_EN_02_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2959,DW_Helm_RP_05_B,,3615,DW_Helm_RP_05_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960,DW_Helm_RP_03_B,,3605,DW_Helm_RP_03_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,GO_Armor_SQ_05_D_Shoulder,,1632,GO_Armor_SQ_05_D_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2962,GO_Helm_SQ_05_C,,1629,GO_Helm_SQ_05_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,GO_Helm_SQ_05_D,,1629,GO_Helm_SQ_05_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,GO_Armor_SQ_04_A_Shoulder,,1619,GO_Armor_SQ_04_A_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,GO_Armor_SQ_04_B_Shoulder,,1619,GO_Armor_SQ_04_B_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2966,GO_Helm_SQ_04_A,,1618,GO_Helm_SQ_04_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967,GO_Helm_SQ_04_B,,1618,GO_Helm_SQ_04_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2968,GO_Armor_SQ_03_A_Shoulder,,1614,GO_Armor_SQ_03_A_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,GO_Armor_SQ_03_B_Shoulder,,1614,GO_Armor_SQ_03_B_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,NPC_Back_Merchant_01,,,NPC_Back_Merchant_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,NPC_Helm_Blacksmith_01,,,NPC_Helm_Blacksmith_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,NPC_CWM_Armor_KBerserker_01_Gloves,,,NPC_CWM_Armor_KBerserker_01_Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,NPC_CWM_Armor_KBerserker_01_Pants,,,NPC_CWM_Armor_KBerserker_01_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,NPC_CWM_Armor_KBerserker_01_Shoulder,,,NPC_CWM_Armor_KBerserker_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,NPC_CWM_Helm_KBerserker_01,,,NPC_CWM_Helm_KBerserker_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2976,NPC_CWM_Armor_KBerserker_01_Belt,,,NPC_CWM_Armor_KBerserker_01_Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2977,NPC_CWM_Armor_KBerserker_01_Body,,,NPC_CWM_Armor_KBerserker_01_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,NPC_CWM_Armor_KBerserker_01_Boots,,,NPC_CWM_Armor_KBerserker_01_Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,NPC_Helm_Miner_01,,,NPC_Helm_Miner_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,NPC_Armor_Miner_01_Belt,,,NPC_Armor_Miner_01_Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,NPC_Armor_Miner_01_Body,,,NPC_Armor_Miner_01_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,NPC_Armor_Miner_01_Boots,,,NPC_Armor_Miner_01_Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,NPC_Armor_Miner_01_Gloves,,,NPC_Armor_Miner_01_Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,NPC_Armor_Miner_01_Pants,,,NPC_Armor_Miner_01_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,NPC_Armor_Miner_01_Shoulder,,,NPC_Armor_Miner_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986,NPC_Cloth_Innkeep_01_Shoulder,,,NPC_Cloth_Innkeep_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,NPC_Helm_Innkeep_01,,,NPC_Helm_Innkeep_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,NPC_Cloth_Innkeep_01_Belt,,,NPC_Cloth_Innkeep_01_Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989,NPC_Cloth_Innkeep_01_Body,,,NPC_Cloth_Innkeep_01_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990,NPC_Cloth_Innkeep_01_Boots,,,NPC_Cloth_Innkeep_01_Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2991,NPC_Cloth_Innkeep_01_Gloves,,,NPC_Cloth_Innkeep_01_Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,NPC_Cloth_Innkeep_01_Pants,,,NPC_Cloth_Innkeep_01_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993,NPC_Helm_Merchant_01,,,NPC_Helm_Merchant_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,NPC_Cloth_Merchant_01_Belt,,,NPC_Cloth_Merchant_01_Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2995,NPC_Cloth_Merchant_01_Body,,,NPC_Cloth_Merchant_01_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996,NPC_Cloth_Merchant_01_Boots,,,NPC_Cloth_Merchant_01_Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,NPC_Cloth_Merchant_01_Gloves,,,NPC_Cloth_Merchant_01_Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,NPC_Cloth_Merchant_01_Pants,,,NPC_Cloth_Merchant_01_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,NPC_Cloth_Merchant_01_Shoulder,,,NPC_Cloth_Merchant_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,NPC_Armor_Cast_01_Body,,950,NPC_Armor_Cast_01_Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,NPC_Armor_Cast_01_Gloves,,952,NPC_Armor_Cast_01_Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,NPC_Armor_Cast_01_Boots,,951,NPC_Armor_Cast_01_Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,NPC_Armor_Cast_01_Shoulder,,954,NPC_Armor_Cast_01_Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,NPC_Armor_Cast_01_Belt,,217,NPC_Armor_Cast_01_Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
